القسم الرئيسي,القسم الفرعي,اسم الماركة,اسم المنتج بالعربي,اسم المنتج بالإنجليزي,وصف المنتج بالعربي,وصف المنتج بالإنجليزي,السعر,الكمية,الخيارات,رابط صورة المنتج
غذائيات,سمن وزيت,حليبنا,حليبنا سمن بقري 2 كيلو,"halibuna made with ghee (clarified butter), 2 kg",حليبنا سمن بقري 2 كيلو,"halibuna made with ghee (clarified butter), 2 kg",0,,,https://i.postimg.cc/B6mGjQ8J/data-bodour-(41).png
غذائيات,سمن وزيت,حليبنا,حليبنا كافيه لاتيه ظرف 20 غرام,"halibuna Cafe Latte, 20g sachet",حليبنا كافيه لاتيه ظرف 20 غرام,"halibuna Cafe Latte, 20g sachet",0,,,https://i.postimg.cc/ZK0H6fPg/datadata-(24).png
,,,حليبنا قهوة كلاسيك 100 غرام,"halibuna classic coffee, 100 grams.",حليبنا قهوة كلاسيك 100 غرام,"halibuna classic coffee, 100 grams.",0,,,https://i.postimg.cc/RVnfM2LK/datadata-(25).png
غذائيات,سمن وزيت,حليبنا,حليبنا سمن بقري 16 كيلو,"halibuna made with ghee (clarified butter), 16 kg",حليبنا سمن بقري 16 كيلو,"halibuna made with ghee (clarified butter), 16 kg",0,,,
غذائيات,حليب,حليبنا,حليب غولد بودرة كامل الدسم حليبنا 900غ,"halibuna Gold Full Cream Milk Powder, 900g",حليب غولد بودرة كامل الدسم حليبنا 900غ,"halibuna Gold Full Cream Milk Powder, 900g",0,,,https://i.postimg.cc/BZ2Lk2SD/19-1.jpg
غذائيات,حليب,حليبنا,حليب غولد بودرة كامل الدسم حليبنا 300غ,"halibuna Gold Full Cream Milk Powder, 300g",حليب غولد بودرة كامل الدسم حليبنا 900غ,"halibuna Gold Full Cream Milk Powder, 900g",0,,,https://i.postimg.cc/dQGkpGs8/datadata-(26).png
غذائيات,حليب,حليبنا,حليب بودرة كامل الدسم حليبنا 400 غرام,"halibuna Full Cream Milk Powder, 400g",حليب غولد بودرة كامل الدسم حليبنا 300غ,"halibuna Gold Full Cream Milk Powder, 300g",0,,,https://i.postimg.cc/wMXWZ3vb/datadata-(20).png
غذائيات,حليب,حليبنا,حليبنا حليب بودرة 100% طبيعي 900 غرام,"halibuna 100% Pure Milk Powder, 900g",حليب غولد بودرة كامل الدسم حليبنا 300غ,"halibuna Gold Full Cream Milk Powder, 300g",0,,,https://i.postimg.cc/nrTHZFwJ/datadata-(27).png
غذائيات,حليب,حليبنا,حليبنا حليب بودرة 100% طبيعي 350 غرام,"halibuna 100% Pure Milk Powder, 350g",حليب غولد بودرة كامل الدسم حليبنا 300غ,"halibuna Gold Full Cream Milk Powder, 300g",0,,,https://i.postimg.cc/yxnVB1rz/datadata-(28).png
غذائيات,حليب,حليبنا,حليبنا حليب بودرة 100% طبيعي 200 غرام,"halibuna 100% Pure Milk Powder, 200g",حليب غولد بودرة كامل الدسم حليبنا 300غ,"halibuna Gold Full Cream Milk Powder, 300g",0,,,https://i.postimg.cc/GtzcrLSn/datadata-(29).png
غذائيات,حليب,حليبنا,حليبنا حليب بودرة 100% طبيعي 22 غرام ظرف,"halibuna 100% Pure Milk Powder, 22g sachet",حليب غولد بودرة كامل الدسم حليبنا 300غ,"halibuna Gold Full Cream Milk Powder, 300g",0,,,https://i.postimg.cc/0jZ8xkHR/datadata-(30).png
غذائيات,حليب,حليبنا,حليبنا حليب بودرة 100% طبيعي 350 غرام خالي الدسم,"halibuna 100% Pure Fat-free Milk Powder, 350g",حليب غولد بودرة كامل الدسم حليبنا 300غ,"halibuna Gold Full Cream Milk Powder, 300g",0,,,https://i.postimg.cc/zGF4ctM4/datadata-(31).png
,,,جبنة حليبنا 8 قطع مثلثات,"halibuna cheese, 8 triangles",جبنة حليبنا 8 قطع مثلثات,"halibuna cheese, 8 triangles",0,,,https://i.postimg.cc/MZLKpT99/08-20-2026-0653amf0e5584242d0fc49f6e1.jpg
منظفات,عناية بالاسنان,روكافيرا,روكافيرا معجون اسنان بالنعناع الثلجي 100 مل,Rocavira Ice Mint Toothpaste 100ml,روكافيرا معجون اسنان بالنعناع الثلجي 100 مل,Rocavira Ice Mint Toothpaste 100ml,0,,,https://i.postimg.cc/1Xtt7dxT/data-bodour-(50).png
منظفات,عناية بالاسنان,روكافيرا,روكافيرا معجون اسنان بالنعناع الثلجي 125 مل,Rocavira Ice Mint Toothpaste 125ml,روكافيرا معجون اسنان بالنعناع الثلجي 125 مل,Rocavira Ice Mint Toothpaste 125ml,0,,,https://i.postimg.cc/1Xtt7dxT/data-bodour-(50).png
منظفات,عناية بالاسنان,روكافيرا,روكافيرا معجون اسنان بالنعناع القوي 125 مل,Rocavira Strong Mint Toothpaste 125ml,روكافيرا معجون اسنان بالنعناع القوي 125 مل,Rocavira Strong Mint Toothpaste 125ml,0,,,https://i.postimg.cc/NjhsRF02/data-bodour-(51).png
منظفات,عناية بالاسنان,روكافيرا,روكافيرا معجون اسنان بالنعناع القوي 100 مل,Rocavira Strong Mint Toothpaste 100ml,روكافيرا معجون اسنان بالنعناع القوي 100 مل,Rocavira Strong Mint Toothpaste 100ml,0,,,https://i.postimg.cc/NjhsRF02/data-bodour-(51).png
منظفات,عناية بالاسنان,روكافيرا,روكافيرا معجون اسنان بالنعناع والمسك 100 مل لون وردي,Rocavira Mint & Musk Toothpaste 100ml Pink,روكافيرا معجون اسنان بالنعناع والمسك 100 مل لون وردي,Rocavira Mint & Musk Toothpaste 100ml Pink,0,,,https://i.postimg.cc/tRxCJFqt/data-bodour-(52).png
منظفات,عناية بالاسنان,روكافيرا,روكافيرا معجون اسنان بالنعناع والمسك 125 مل لون وردي,Rocavira Mint & Musk Toothpaste 125ml Pink,روكافيرا معجون اسنان بالنعناع والمسك 125 مل لون وردي,Rocavira Mint & Musk Toothpaste 125ml Pink,0,,,https://i.postimg.cc/tRxCJFqt/data-bodour-(52).png
منظفات,عناية بالجسم وشعر,روكافيرا,روكافيرا مزيل عرق طبيعي لون أخضر 50 مل,"Rocavira Natural Deodorant, Green Color, 50ml",روكافيرا مزيل عرق طبيعي لون أخضر 50 مل,"Rocavira Natural Deodorant, Green Color, 50ml",0,,,https://i.postimg.cc/ZRqBXnpK/data-bodour-(53).png
منظفات,عناية بالجسم وشعر,روكافيرا,روكافيرا شامبو للشعر جاف 400 مل,Rocavira Shampoo for Dry Hair 400ml,روكافيرا شامبو للشعر جاف 400 مل,Rocavira Shampoo for Dry Hair 400ml,0,,,https://i.postimg.cc/Tw83GcyD/data-bodour-(54).png
منظفات,عناية بالجسم وشعر,روكافيرا,روكافيرا شامبو للشعر العادي 400 مل,Rocavira Shampoo for Normal Hair 400ml,روكافيرا شامبو للشعر العادي 400 مل,Rocavira Shampoo for Normal Hair 400ml,0,,,https://i.postimg.cc/9MxgZLGr/data-bodour-(55).png
منظفات,عناية بالجسم وشعر,روكافيرا,روكافيرا شامبو للشعر الدهني 400 مل,Rocavira Shampoo for Oily Hair 400ml,روكافيرا شامبو للشعر الدهني 400 مل,Rocavira Shampoo for Oily Hair 400ml,0,,,https://i.postimg.cc/63RL5zM9/data-bodour-(56).png
منظفات,عناية بالجسم وشعر,روكافيرا,روكافيرا شامبو للشعر للرجال 400 مل,Rocavira Men's Shampoo 400ml,روكافيرا شامبو للشعر للرجال 400 مل,Rocavira Men's Shampoo 400ml,0,,,https://i.postimg.cc/RCLKsW8d/data-bodour-(57).png
منظفات,عناية بالجسم والشعر,روكافيرا ,روكافيرا مزيل عرق منعش لون ازرق 50 مل,"Rocavira Refreshing Deodorant, Blue, 50ml",روكافيرا مزيل عرق منعش لون ازرق 50 مل,"Rocavira Refreshing Deodorant, Blue, 50ml",0,,,https://i.postimg.cc/XvTycJMQ/data-bodour-(71).png
منظفات,عناية بالجسم والشعر,روكافيرا ,روكافيرا مزيل عرق ناعم لون وردي 50 مل,"Rocavira Smooth Deodorant, Pink, 50ml",روكافيرا مزيل عرق ناعم لون وردي 50 مل,"Rocavira Smooth Deodorant, Pink, 50ml",0,,,https://i.postimg.cc/sxC7y2wj/data-bodour-(70).png
منظفات,عناية بالجسم والشعر,روكافيرا ,روكافيرا مزيل عرق للرجال كلاسيك 50 مل,Rocavira Classic Men's Deodorant 50ml,روكافيرا مزيل عرق للرجال كلاسيك 50 مل,Rocavira Classic Men's Deodorant 50ml,0,,,https://i.postimg.cc/4xgLwfGk/data-bodour-(68).png
منظفات,عناية بالجسم والشعر,روكافيرا ,روكافيرا مزيل عرق للرجال منعش 50 مل,Rocavira Men's Refreshing Deodorant 50ml,روكافيرا مزيل عرق للرجال منعش 50 مل,Rocavira Men's Refreshing Deodorant 50ml,0,,,https://i.postimg.cc/4xgLwfGk/data-bodour-(68).png
منظفات,عناية بالجسم والشعر,روكافيرا ,مزيل عرق روكافيرا رائحة سوفت اند دراي ٧٥ مل,Rocavira Soft & Dry Deodorant 75ml,مزيل عرق روكافيرا رائحة سوفت اند دراي ٧٥ مل,Rocavira Soft & Dry Deodorant 75ml,0,,,https://i.postimg.cc/W1V1ZygZ/datadata-(32).png
منظفات,عناية بالجسم وشعر,روكافيرا,روكافيرا سائل استحمام 400 مل,Rocavira Shower Gel 400ml,روكافيرا سائل استحمام 400 مل,Rocavira Shower Gel 400ml,0,,,
غذائيات,معلبات,زوان,زوان لانشون دجاج 200 غرام,Zwan Chicken Luncheon Meat 200g,منتجنا الكلاسيكي يتميز لحم الدجاج المعلب لدينا بمذاقه اللذيذ فحسب، بل إنه حاز على إعجاب الكثيرين على مر السنين. بدأ كل شيء بهذه النكهة التي تُداعب براعم التذوق لديك. لذيذ ساخنًا أو باردًا - دجاج طري شهي، جاهز في لحظات!,"Our classic product! Our canned chicken not only tastes delicious, but it has also won the hearts of many over the years. It all started with that flavor that tantalizes your taste buds. Delicious hot or cold – tender, juicy chicken, ready in moments!",0,,,https://i.postimg.cc/mgc4nXNC/data-bodour-2026-09-01T134612-915.png
غذائيات,معلبات,زوان,زوان لانشون دجاج 340 غرام,Zwan Chicken Luncheon Meat 340g,منتجنا الكلاسيكي يتميز لحم الدجاج المعلب لدينا بمذاقه اللذيذ فحسب، بل إنه حاز على إعجاب الكثيرين على مر السنين. بدأ كل شيء بهذه النكهة التي تُداعب براعم التذوق لديك. لذيذ ساخنًا أو باردًا - دجاج طري شهي، جاهز في لحظات!,"Our classic product! Our canned chicken not only tastes delicious, but it has also won the hearts of many over the years. It all started with that flavor that tantalizes your taste buds. Delicious hot or cold – tender, juicy chicken, ready in moments!",0,,,https://i.postimg.cc/QtDrHXLZ/data-bodour-2026-09-01T134804-711.png
غذائيات,معلبات,زوان,زوان لانشون دجاج 850 غرام,Zwan Chicken Luncheon Meat 850g,منتجنا الكلاسيكي يتميز لحم الدجاج المعلب لدينا بمذاقه اللذيذ فحسب، بل إنه حاز على إعجاب الكثيرين على مر السنين. بدأ كل شيء بهذه النكهة التي تُداعب براعم التذوق لديك. لذيذ ساخنًا أو باردًا - دجاج طري شهي، جاهز في لحظات!,"Our classic product! Our canned chicken not only tastes delicious, but it has also won the hearts of many over the years. It all started with that flavor that tantalizes your taste buds. Delicious hot or cold – tender, juicy chicken, ready in moments!",0,,,https://i.postimg.cc/T1V2pj7K/datadata-(39).png
غذائيات,معلبات,سيلفر فيش ,سيلفر فيش تونا حارة 160 جرام,Silver Fish Hot Tuna 160g,سيلفر فيش تونا حارة 160 جرام,Silver Fish Hot Tuna 160g,0,,,https://i.postimg.cc/4y97wh8R/datadata-(41).png
غذائيات,معلبات,سيلفر فيش ,سيلفر فيش تونا حلوة 160 جرام,Silver Fish Tuna 160g,سيلفر فيش تونا حلوة 160 جرام,Silver Fish Tuna 160g,0,,,https://i.postimg.cc/gjZX46M9/datadata-(40).png
غذائيات,معلبات,صن بل,صن بل كورند بيف 340 جرام,Sun Bull Corned Beef 340g,صن بل كورند بيف 340 جرام,Sun Bull Corned Beef 340g,0,,,https://i.postimg.cc/N0ftBHFq/data-bodour-(43).png
غذائيات,معلبات,صن بل,طون صن بيل حلو 185 غرام,Sun Bell Sweet Tuna 185g,طون صن بيل حلو 185 غرام,Sun Bell Sweet Tuna 185g,0,,,https://i.postimg.cc/bJzhNGDB/datadata-(43).png
غذائيات,معلبات,صن بل,طون صن بيل حار 185 غرام,Sun Bell Hot Tuna 185g,طون صن بيل حار 185 غرام,Sun Bell Hot Tuna 185g,0,,,
